#BOOK=Proverbs|BOOKCODE=pro|CHAPTER=18|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Proverbs 18|KO=
V|N=1|EN=Through desire a man, having separated himself, seeketh and intermeddleth with all wisdom.|KO=
V|N=2|EN=A fool hath no delight in understanding, but that his heart may discover itself.|KO=
V|N=3|EN=When the wicked cometh, then cometh also contempt, and with ignominy reproach.|KO=
V|N=4|EN=The words of a man’s mouth are as deep waters, and the wellspring of wisdom as a flowing brook.|KO=
V|N=5|EN=It is not good to accept the person of the wicked, to overthrow the righteous in judgment.|KO=
V|N=6|EN=A fool’s lips enter into contention, and his mouth calleth for strokes.|KO=
V|N=7|EN=A fool’s mouth is his destruction, and his lips are the snare of his soul.|KO=
V|N=8|EN=The words of a talebearer are as wounds, and they go down into the innermost parts of the belly.|KO=
V|N=9|EN=He also that is slothful in his work is brother to him that is a great waster.|KO=
V|N=10|EN=The name of the LORD is a strong tower: the righteous runneth into it, and is safe.|KO=
V|N=11|EN=The rich man’s wealth is his strong city, and as an high wall in his own conceit.|KO=
V|N=12|EN=Before destruction the heart of man is haughty, and before honour is humility.|KO=
V|N=13|EN=He that answereth a matter before he heareth it, it is folly and shame unto him.|KO=
V|N=14|EN=The spirit of a man will sustain his infirmity; but a wounded spirit who can bear?|KO=
V|N=15|EN=The heart of the prudent getteth knowledge; and the ear of the wise seeketh knowledge.|KO=
V|N=16|EN=A man’s gift maketh room for him, and bringeth him before great men.|KO=
V|N=17|EN=He that is first in his own cause seemeth just; but his neighbour cometh and searcheth him.|KO=
V|N=18|EN=The lot causeth contentions to cease, and parteth between the mighty.|KO=
V|N=19|EN=A brother offended is harder to be won than a strong city: and their contentions are like the bars of a castle.|KO=
V|N=20|EN=A man’s belly shall be satisfied with the fruit of his mouth; and with the increase of his lips shall he be filled.|KO=
V|N=21|EN=Death and life are in the power of the tongue: and they that love it shall eat the fruit thereof.|KO=
V|N=22|EN=Whoso findeth a wife findeth a good thing, and obtaineth favour of the LORD.|KO=
V|N=23|EN=The poor useth intreaties; but the rich answereth roughly.|KO=
V|N=24|EN=A man that hath friends must shew himself friendly: and there is a friend that sticketh closer than a brother.|KO=
