#BOOK=Proverbs|BOOKCODE=pro|CHAPTER=3|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Proverbs 3|KO=잠언 3장
V|N=1|EN=My son, forget not my law; but let thine heart keep my commandments:|KO=내 아들아 나의 법을 잊어버리지 말고 네 마음으로 나의 계명을 지키라
V|N=2|EN=For length of days, and long life, and peace, shall they add to thee.|KO=그리하면 그것이 네게 장수하여 많은 해와 평강을 더하리라
V|N=3|EN=Let not mercy and truth forsake thee: bind them about thy neck; write them upon the table of thine heart:|KO=인자와 진리를 네게서 떠나지 말게 하고 그것을 네 목에 매며 네 마음판에 새기라
V|N=4|EN=So shalt thou find favour and good understanding in the sight of God and man.|KO=그리하면 네가 하나님과 사람 앞에서 은총과 귀중히 여김을 받으리라
V|N=5|EN=Trust in the LORD with all thine heart; and lean not unto thine own understanding.|KO=너는 마음을 다하여 여호와를 신뢰하고 네 명철을 의지하지 말라
V|N=6|EN=In all thy ways acknowledge him, and he shall direct thy paths.|KO=너는 범사에 그를 인정하라 그리하면 네 길을 지도하시리라
V|N=7|EN=Be not wise in thine own eyes: fear the LORD, and depart from evil.|KO=스스로 지혜롭게 여기지 말지어다 여호와를 경외하며 악을 떠날지어다
V|N=8|EN=It shall be health to thy navel, and marrow to thy bones.|KO=이것이 네 몸에 양약이 되어 네 골수로 윤택하게 하리라
V|N=9|EN=Honour the LORD with thy substance, and with the firstfruits of all thine increase:|KO=네 재물과 네 소산물의 처음 익은 열매로 여호와를 공경하라
V|N=10|EN=So shall thy barns be filled with plenty, and thy presses shall burst out with new wine.|KO=그리하면 네 창고가 가득히 차고 네 포도즙 틀이 새 포도즙으로 터지리라
V|N=11|EN=My son, despise not the chastening of the LORD; neither be weary of his correction:|KO=내 아들아 여호와의 징계를 경히 여기지 말라 그 꾸지람을 싫어하지 말라
V|N=12|EN=For whom the LORD loveth he correcteth; even as a father the son in whom he delighteth.|KO=여호와께서 그 사랑하시는 자를 징계하시기를 마치 아비가 그 기뻐하는 아들을 징계함 같이 하시느니라
V|N=13|EN=Happy is the man that findeth wisdom, and the man that getteth understanding.|KO=지혜를 얻은 자와 명철을 얻은 자는 복이 있나니
V|N=14|EN=For the merchandise of it is better than the merchandise of silver, and the gain thereof than fine gold.|KO=이는 지혜를 얻는 것이 은을 얻는 것보다 낫고 그 유익이 정금보다 나음이니라
V|N=15|EN=She is more precious than rubies: and all the things thou canst desire are not to be compared unto her.|KO=지혜는 진주보다 귀하니 네가 사모하는 모든 것으로 이에 비교할 수 없도다
V|N=16|EN=Length of days is in her right hand; and in her left hand riches and honour.|KO=그 오른손에는 장수가 있고 그 왼손에는 부귀가 있나니
V|N=17|EN=Her ways are ways of pleasantness, and all her paths are peace.|KO=그 길은 즐거운 길이요 그의 첩경은 다 평강이니라
V|N=18|EN=She is a tree of life to them that lay hold upon her: and happy is every one that retaineth her.|KO=지혜는 그 얻는 자에게 생명 나무라 지혜를 가진 자는 복되도다
V|N=19|EN=The LORD by wisdom hath founded the earth; by understanding hath he established the heavens.|KO=여호와께서는 지혜로 땅의 기초를 놓으셨으며 명철로 하늘을 견고히 세우셨고
V|N=20|EN=By his knowledge the depths are broken up, and the clouds drop down the dew.|KO=그의 지식으로 해양이 갈라지게 하셨으며 구름이 이슬을 내리게 하셨느니라
V|N=21|EN=My son, let not them depart from thine eyes: keep sound wisdom and discretion:|KO=내 아들아 완전한 지혜와 근신을 지키고 이것들이 네 눈앞에서 떠나지 말게 하라
V|N=22|EN=So shall they be life unto thy soul, and grace to thy neck.|KO=그리하면 그것이 네 영혼의 생명이 되며 네 목에 장식이 되리니
V|N=23|EN=Then shalt thou walk in thy way safely, and thy foot shall not stumble.|KO=네가 네 길을 안전하게 행하겠고 네 발이 거치지 아니하겠으며
V|N=24|EN=When thou liest down, thou shalt not be afraid: yea, thou shalt lie down, and thy sleep shall be sweet.|KO=네가 누울 때에 두려워하지 아니하겠고 네가 누운즉 네 잠이 달리로다
V|N=25|EN=Be not afraid of sudden fear, neither of the desolation of the wicked, when it cometh.|KO=너는 갑자기 닥치는 두려움이나 악인의 멸망이 임할 때에 두려워하지 말라
V|N=26|EN=For the LORD shall be thy confidence, and shall keep thy foot from being taken.|KO=이는 여호와께서 네 의지할 이가 되시며 네 발을 지켜 걸리지 않게 하실 것임이니라
V|N=27|EN=Withhold not good from them to whom it is due, when it is in the power of thine hand to do it.|KO=선한 일을 마땅히 받을 자에게 베풀기를 아끼지 말며 네 손에 베풀 힘이 있거든 그리할지니라
V|N=28|EN=Say not unto thy neighbour, Go, and come again, and to morrow I will give; when thou hast it by thee.|KO=네게 있거든 이웃에게 이르기를 갔다가 다시 오라 내일 주겠노라 하지 말며
V|N=29|EN=Devise not evil against thy neighbour, seeing he dwelleth securely by thee.|KO=네 이웃이 네 곁에 평안히 살거든 그를 해하려고 꾀하지 말며
V|N=30|EN=Strive not with a man without cause, if he have done thee no harm.|KO=사람이 네게 악을 행하지 아니하였거든 까닭 없이 더불어 다투지 말지니라
