#BOOK=Proverbs|BOOKCODE=pro|CHAPTER=19|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Proverbs 19|KO=
V|N=1|EN=Better is the poor that walketh in his integrity, than he that is perverse in his lips, and is a fool.|KO=
V|N=2|EN=Also, that the soul be without knowledge, it is not good; and he that hasteth with his feet sinneth.|KO=
V|N=3|EN=The foolishness of man perverteth his way: and his heart fretteth against the LORD.|KO=
V|N=4|EN=Wealth maketh many friends; but the poor is separated from his neighbour.|KO=
V|N=5|EN=A false witness shall not be unpunished, and he that speaketh lies shall not escape.|KO=
V|N=6|EN=Many will intreat the favour of the prince: and every man is a friend to him that giveth gifts.|KO=
V|N=7|EN=All the brethren of the poor do hate him: how much more do his friends go far from him? he pursueth them with words, yet they are wanting to him.|KO=
V|N=8|EN=He that getteth wisdom loveth his own soul: he that keepeth understanding shall find good.|KO=
V|N=9|EN=A false witness shall not be unpunished, and he that speaketh lies shall perish.|KO=
V|N=10|EN=Delight is not seemly for a fool; much less for a servant to have rule over princes.|KO=
V|N=11|EN=The discretion of a man deferreth his anger; and it is his glory to pass over a transgression.|KO=
V|N=12|EN=The king’s wrath is as the roaring of a lion; but his favour is as dew upon the grass.|KO=
V|N=13|EN=A foolish son is the calamity of his father: and the contentions of a wife are a continual dropping.|KO=
V|N=14|EN=House and riches are the inheritance of fathers: and a prudent wife is from the LORD.|KO=
V|N=15|EN=Slothfulness casteth into a deep sleep; and an idle soul shall suffer hunger.|KO=
V|N=16|EN=He that keepeth the commandment keepeth his own soul; but he that despiseth his ways shall die.|KO=
V|N=17|EN=He that hath pity upon the poor lendeth unto the LORD; and that which he hath given will he pay him again.|KO=
V|N=18|EN=Chasten thy son while there is hope, and let not thy soul spare for his crying.|KO=
V|N=19|EN=A man of great wrath shall suffer punishment: for if thou deliver him, yet thou must do it again.|KO=
V|N=20|EN=Hear counsel, and receive instruction, that thou mayest be wise in thy latter end.|KO=
V|N=21|EN=There are many devices in a man’s heart; nevertheless the counsel of the LORD, that shall stand.|KO=
V|N=22|EN=The desire of a man is his kindness: and a poor man is better than a liar.|KO=
V|N=23|EN=The fear of the LORD tendeth to life: and he that hath it shall abide satisfied; he shall not be visited with evil.|KO=
V|N=24|EN=A slothful man hideth his hand in his bosom, and will not so much as bring it to his mouth again.|KO=
V|N=25|EN=Smite a scorner, and the simple will beware: and reprove one that hath understanding, and he will understand knowledge.|KO=
V|N=26|EN=He that wasteth his father, and chaseth away his mother, is a son that causeth shame, and bringeth reproach.|KO=
V|N=27|EN=Cease, my son, to hear the instruction that causeth to err from the words of knowledge.|KO=
V|N=28|EN=An ungodly witness scorneth judgment: and the mouth of the wicked devoureth iniquity.|KO=
V|N=29|EN=Judgments are prepared for scorners, and stripes for the back of fools.|KO=
