#BOOK=Genesis|BOOKCODE=gen|CHAPTER=25|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 25|KO=
V|N=1|EN=Then again Abraham took a wife, and her name was Keturah.|KO=
V|N=2|EN=And she bare him Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah.|KO=
V|N=3|EN=And Jokshan begat Sheba, and Dedan. And the sons of Dedan were Asshurim, and Letushim, and Leummim.|KO=
V|N=4|EN=And the sons of Midian; Ephah, and Epher, and Hanoch, and Abidah, and Eldaah. All these were the children of Keturah.|KO=
V|N=5|EN=And Abraham gave all that he had unto Isaac.|KO=
V|N=6|EN=But unto the sons of the concubines, which Abraham had, Abraham gave gifts, and sent them away from Isaac his son, while he yet lived, eastward, unto the east country.|KO=
V|N=7|EN=And these are the days of the years of Abraham’s life which he lived, an hundred threescore and fifteen years.|KO=
V|N=8|EN=Then Abraham gave up the ghost, and died in a good old age, an old man, and full of years; and was gathered to his people.|KO=
V|N=9|EN=And his sons Isaac and Ishmael buried him in the cave of Machpelah, in the field of Ephron the son of Zohar the Hittite, which is before Mamre;|KO=
V|N=10|EN=The field which Abraham purchased of the sons of Heth: there was Abraham buried, and Sarah his wife.|KO=
V|N=11|EN=And it came to pass after the death of Abraham, that God blessed his son Isaac; and Isaac dwelt by the well Lahairoi.|KO=
V|N=12|EN=Now these are the generations of Ishmael, Abraham’s son, whom Hagar the Egyptian, Sarah’s handmaid, bare unto Abraham:|KO=
V|N=13|EN=And these are the names of the sons of Ishmael, by their names, according to their generations: the firstborn of Ishmael, Nebajoth; and Kedar, and Adbeel, and Mibsam,|KO=
V|N=14|EN=And Mishma, and Dumah, and Massa,|KO=
V|N=15|EN=Hadar, and Tema, Jetur, Naphish, and Kedemah:|KO=
V|N=16|EN=These are the sons of Ishmael, and these are their names, by their towns, and by their castles; twelve princes according to their nations.|KO=
V|N=17|EN=And these are the years of the life of Ishmael, an hundred and thirty and seven years: and he gave up the ghost and died; and was gathered unto his people.|KO=
V|N=18|EN=And they dwelt from Havilah unto Shur, that is before Egypt, as thou goest toward Assyria: and he died in the presence of all his brethren.|KO=
V|N=19|EN=And these are the generations of Isaac, Abraham’s son: Abraham begat Isaac:|KO=
V|N=20|EN=And Isaac was forty years old when he took Rebekah to wife, the daughter of Bethuel the Syrian of Padanaram, the sister to Laban the Syrian.|KO=
V|N=21|EN=And Isaac intreated the LORD for his wife, because she was barren: and the LORD was intreated of him, and Rebekah his wife conceived.|KO=
V|N=22|EN=And the children struggled together within her; and she said, If it be so, why am I thus? And she went to enquire of the LORD.|KO=
V|N=23|EN=And the LORD said unto her, Two nations are in thy womb, and two manner of people shall be separated from thy bowels; and the one people shall be stronger than the other people; and the elder shall serve the younger.|KO=
V|N=24|EN=And when her days to be delivered were fulfilled, behold, there were twins in her womb.|KO=
V|N=25|EN=And the first came out red, all over like an hairy garment; and they called his name Esau.|KO=
V|N=26|EN=And after that came his brother out, and his hand took hold on Esau’s heel; and his name was called Jacob: and Isaac was threescore years old when she bare them.|KO=
V|N=27|EN=And the boys grew: and Esau was a cunning hunter, a man of the field; and Jacob was a plain man, dwelling in tents.|KO=
V|N=28|EN=And Isaac loved Esau, because he did eat of his venison: but Rebekah loved Jacob.|KO=
V|N=29|EN=And Jacob sod pottage: and Esau came from the field, and he was faint:|KO=
V|N=30|EN=And Esau said to Jacob, Feed me, I pray thee, with that same red pottage; for I am faint: therefore was his name called Edom.|KO=
V|N=31|EN=And Jacob said, Sell me this day thy birthright.|KO=
V|N=32|EN=And Esau said, Behold, I am at the point to die: and what profit shall this birthright do to me?|KO=
V|N=33|EN=And Jacob said, Swear to me this day; and he sware unto him: and he sold his birthright unto Jacob.|KO=
V|N=34|EN=Then Jacob gave Esau bread and pottage of lentiles; and he did eat and drink, and rose up, and went his way: thus Esau despised his birthright.|KO=
