#BOOK=Genesis|BOOKCODE=gen|CHAPTER=14|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 14|KO=창세기 14장
V|N=1|EN=And it came to pass in the days of Amraphel king of Shinar, Arioch king of Ellasar, Chedorlaomer king of Elam, and Tidal king of nations;|KO=아므라벨 왕의 시대에 신할과 엘라살의 아리옥 왕, 엘람의 그돌라오멜 왕, 그리고 여러 민족의 티달 왕이 있던 때에 일이 일어났다.
V|N=2|EN=That these made war with Bera king of Sodom, and with Birsha king of Gomorrah, Shinab king of Admah, and Shemeber king of Zeboiim, and the king of Bela, which is Zoar.|KO=그들이 소돔의 베라 왕과 고모라의 비르사 왕, 아드마의 신압 왕, 그리고 제보임의 세멜 왕, 그리고 벨라 왕과 전쟁을 벌였다. 벨라는 소알이다.
V|N=3|EN=All these were joined together in the vale of Siddim, which is the salt sea.|KO=이들은 모두 시딤 골짜기에 모였는데, 그곳은 소금 바다이다.
V|N=4|EN=Twelve years they served Chedorlaomer, and in the thirteenth year they rebelled.|KO=그들은 12년 동안 그돌라오멜에게 섬겼고, 13년째에 반란을 일으켰다.
V|N=5|EN=And in the fourteenth year came Chedorlaomer, and the kings that were with him, and smote the Rephaims in Ashteroth Karnaim, and the Zuzims in Ham, and the Emins in Shaveh Kiriathaim,|KO=그리고 14년째에 그돌라오멜과 그와 함께한 왕들이 와서 아스다롯 가르나임에서 레바임을 치고, 함에서 수짐을 치고, 샤웨 기럇하임에서 에민을 쳤다.
V|N=6|EN=And the Horites in their mount Seir, unto Elparan, which is by the wilderness.|KO=그리고 그들은 세일 산에서 호리 사람들을 쳤고, 엘파란까지 갔는데, 그곳은 광야에 있다.
V|N=7|EN=And they returned, and came to Enmishpat, which is Kadesh, and smote all the country of the Amalekites, and also the Amorites, that dwelt in Hazezontamar.|KO=그들은 돌아와서 엔미스바트, 곧 가데스에 이르러 아말렉 온 땅과 하세손 다말에 거주하는 아모리 사람들을 쳤다.
V|N=8|EN=And there went out the king of Sodom, and the king of Gomorrah, and the king of Admah, and the king of Zeboiim, and the king of Bela (the same is Zoar;) and they joined battle with them in the vale of Siddim;|KO=그리고 소돔 왕과 고모라 왕과 아드마 왕과 제보임 왕과 벨라 왕이 나와서 그들과 시딤 골짜기에서 전투를 벌였다.
V|N=9|EN=With Chedorlaomer the king of Elam, and with Tidal king of nations, and Amraphel king of Shinar, and Arioch king of Ellasar; four kings with five.|KO=그돌라오멜 엘람 왕과 여러 민족의 티달 왕, 신할의 아므라벨 왕, 엘라살의 아리옥 왕, 네 왕이 다섯 왕과 함께 있었다.
V|N=10|EN=And the vale of Siddim was full of slimepits; and the kings of Sodom and Gomorrah fled, and fell there; and they that remained fled to the mountain.|KO=시딤 골짜기는 진흙 구덩이로 가득 차 있었고, 소돔과 고모라의 왕들이 도망쳐 거기서 넘어졌으며, 남은 자들은 산으로 도망쳤다.
V|N=11|EN=And they took all the goods of Sodom and Gomorrah, and all their victuals, and went their way.|KO=그들은 소돔과 고모라의 모든 재물과 모든 양식을 취하고 떠났다.
V|N=12|EN=And they took Lot, Abram’s brother’s son, who dwelt in Sodom, and his goods, and departed.|KO=그들은 소돔에 거주하던 아브람의 조카 롯과 그의 재물을 잡아갔다.
V|N=13|EN=And there came one that had escaped, and told Abram the Hebrew; for he dwelt in the plain of Mamre the Amorite, brother of Eshcol, and brother of Aner: and these were confederate with Abram.|KO=그리고 도망친 한 사람이 와서 히브리 사람 아브람에게 이르렀으니, 그는 아모리 사람 마므레의 평지에 거주하고 있었고, 마므레는 에스골과 아너의 형제였다. 이들은 아브람과 동맹을 맺었다.
V|N=14|EN=And when Abram heard that his brother was taken captive, he armed his trained servants, born in his own house, three hundred and eighteen, and pursued them unto Dan.|KO=아브람이 그의 형제가 사로잡혔다는 소식을 듣고, 자기 집에서 태어난 훈련된 종 318명을 무장시키고 단까지 추격하였다.
V|N=15|EN=And he divided himself against them, he and his servants, by night, and smote them, and pursued them unto Hobah, which is on the left hand of Damascus.|KO=그는 밤에 그들을 치고, 그들을 다치게 하여 다마스쿠스 왼편 호바까지 추격하였다.
V|N=16|EN=And he brought back all the goods, and also brought again his brother Lot, and his goods, and the women also, and the people.|KO=그는 모든 재물을 되찾고, 그의 형제 롯과 그의 재물, 그리고 여자들과 백성도 함께 데리고 돌아왔다.
