#BOOK=Genesis|BOOKCODE=gen|CHAPTER=44|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 44|KO=창세기 44장
V|N=1|EN=And he commanded the steward of his house, saying, Fill the men’s sacks with food, as much as they can carry, and put every man’s money in his sack’s mouth.|KO=그가 자기 집의 관리인에게 명령하여 이르되, 남자들의 자루에 그들이 운반할 수 있는 만큼 음식을 채우고, 각 사람의 돈을 그의 자루 입에 넣으라 하니라.
V|N=2|EN=And put my cup, the silver cup, in the sack’s mouth of the youngest, and his corn money. And he did according to the word that Joseph had spoken.|KO=그리고 내 잔, 은잔을 가장 어린 자의 자루 입에 넣고 그의 곡식 값을 넣으라 하니, 그는 요셉이 말한 대로 하였더라.
V|N=3|EN=As soon as the morning was light, the men were sent away, they and their asses.|KO=아침이 밝자, 그 남자들은 그들과 그들의 나귀를 보내었더라.
V|N=4|EN=And when they were gone out of the city, and not yet far off, Joseph said unto his steward, Up, follow after the men; and when thou dost overtake them, say unto them, Wherefore have ye rewarded evil for good?|KO=그들이 성을 나가고 멀리 가지 않았을 때, 요셉이 그의 관리인에게 이르되, 일어나서 그 남자들을 따라가라. 그들을 따라잡으면 그들에게 말하라, 너희가 선을 악으로 보답하였느냐?
V|N=5|EN=Is not this it in which my lord drinketh, and whereby indeed he divineth? ye have done evil in so doing.|KO=내 주가 마시는 것이 이것이 아니냐? 그리고 그로 인해 참으로 점치는 것이 아니냐? 너희가 이렇게 행함으로 악을 행하였느니라.
V|N=6|EN=And he overtook them, and he spake unto them these same words.|KO=그가 그들을 따라잡고 이 같은 말을 그들에게 하였더라.
V|N=7|EN=And they said unto him, Wherefore saith my lord these words? God forbid that thy servants should do according to this thing:|KO=그들이 그에게 이르되, 내 주가 어찌하여 이 같은 말을 하시나이까? 주의 종들이 이 일을 행할 수 없나이다.
V|N=8|EN=Behold, the money, which we found in our sacks’ mouths, we brought again unto thee out of the land of Canaan: how then should we steal out of thy lord’s house silver or gold?|KO=보소서, 우리가 자루 입에서 발견한 돈을 가나안 땅에서 당신에게 다시 가져왔나이다. 그러면 어찌하여 당신의 주의 집에서 은이나 금을 훔치겠습니까?
V|N=9|EN=With whomsoever of thy servants it be found, both let him die, and we also will be my lord’s bondmen.|KO=당신의 종들 중 누구에게서 발견되든지, 그 사람은 죽게 하고, 우리는 또한 내 주의 종이 되리이다.
V|N=10|EN=And he said, Now also let it be according unto your words: he with whom it is found shall be my servant; and ye shall be blameless.|KO=그가 이르되, 이제 너희의 말대로 하리라. 그것이 발견된 자는 내 종이 될 것이요, 너희는 무죄하리라.
V|N=11|EN=Then they speedily took down every man his sack to the ground, and opened every man his sack.|KO=그들이 급히 각자 자루를 땅에 내리고, 각자 자루를 열었더라.
V|N=12|EN=And he searched, and began at the eldest, and left at the youngest: and the cup was found in Benjamin’s sack.|KO=그가 조사하기 시작하였고, 맏형부터 시작하여 막내까지 조사하였더니, 잔이 베냐민의 자루에서 발견되었더라.
V|N=13|EN=Then they rent their clothes, and laded every man his ass, and returned to the city.|KO=그들이 자기의 옷을 찢고, 각자 자기의 나귀에 짐을 싣고, 성으로 돌아갔더라.
V|N=14|EN=And Judah and his brethren came to Joseph’s house; for he was yet there: and they fell before him on the ground.|KO=유다와 그의 형제들이 요셉의 집에 이르렀을 때, 그는 아직 거기 있었고, 그들은 땅에 엎드려 그 앞에 엎드렸더라.
V|N=15|EN=And Joseph said unto them, What deed is this that ye have done? wot ye not that such a man as I can certainly divine?|KO=요셉이 그들에게 이르되, 너희가 무슨 일을 하였느냐? 너희가 알지 못하느냐? 내가 이런 사람인 줄을 알지 못하느냐?
V|N=16|EN=And Judah said, What shall we say unto my lord? what shall we speak? or how shall we clear ourselves? God hath found out the iniquity of thy servants: behold, we are my lord’s servants, both we, and he also with whom the cup is found.|KO=유다가 이르되, 내 주여, 우리가 내 주에게 무엇을 말하며, 무엇을 말할 수 있사옵니까? 우리가 어떻게 우리 자신을 변명할 수 있사옵니까? 하나님이 당신의 종들의 죄를 찾으셨나이다. 보소서, 우리는 내 주의 종이 되었고, 잔이 발견된 자도 그러하니이다.
V|N=17|EN=And he said, God forbid that I should do so: but the man in whose hand the cup is found, he shall be my servant; and as for you, get you up in peace unto your father.|KO=그가 이르되, 내가 그렇게 할 수 없느니라. 잔이 발견된 자는 내 종이 될 것이요, 너희는 평안히 너희 아버지에게 돌아가라.
V|N=18|EN=Then Judah came near unto him, and said, Oh my lord, let thy servant, I pray thee, speak a word in my lord’s ears, and let not thine anger burn against thy servant: for thou art even as Pharaoh.|KO=그때 유다가 가까이 나아가서 이르되, 오 내 주여, 내 주의 귀에 한 말씀을 하게 하옵소서. 내 주의 노가 내게 대하여 타오르지 않게 하옵소서. 당신은 바로와 같으니이다.
V|N=19|EN=My lord asked his servants, saying, Have ye a father, or a brother?|KO=내 주가 그의 종들에게 물으시기를, 너희에게 아버지가 있느냐? 아니면 형제가 있느냐 하셨나이다.
