#BOOK=Genesis|BOOKCODE=gen|CHAPTER=27|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 27|KO=창세기 27장
V|N=1|EN=And it came to pass, that when Isaac was old, and his eyes were dim, so that he could not see, he called Esau his eldest son, and said unto him, My son: and he said unto him, Behold, here am I.|KO=이삭이 늙고 눈이 어두워서 보지 못하게 되었을 때, 그는 그의 장자 에서에게 불러 이르되, 내 아들아 하니, 그가 이르되, 내가 여기 있나이다.
V|N=2|EN=And he said, Behold now, I am old, I know not the day of my death:|KO=그가 이르되, 이제 내가 늙었으니 내 죽는 날을 알지 못하노라.
V|N=3|EN=Now therefore take, I pray thee, thy weapons, thy quiver and thy bow, and go out to the field, and take me some venison;|KO=그러므로 내가 너에게 간구하노니, 너의 무기와 화살과 활을 가지고 들로 나가서 나를 위하여 사냥하여 오라.
V|N=4|EN=And make me savoury meat, such as I love, and bring it to me, that I may eat; that my soul may bless thee before I die.|KO=내가 사랑하는 맛있는 음식을 만들어 내게 가져오라. 내가 먹고 내 죽기 전에 너를 축복하리라.
V|N=5|EN=And Rebekah heard when Isaac spake to Esau his son. And Esau went to the field to hunt for venison, and to bring it.|KO=리브가가 이삭이 그의 아들 에서에게 말하는 것을 들으니, 에서가 사냥하러 들로 나갔다.
V|N=6|EN=And Rebekah spake unto Jacob her son, saying, Behold, I heard thy father speak unto Esau thy brother, saying,|KO=리브가가 그의 아들 야곱에게 이르되, 보라, 내가 너의 아버지가 너의 형 에서에게 말씀하시는 것을 들었노라.
V|N=7|EN=Bring me venison, and make me savoury meat, that I may eat, and bless thee before the LORD before my death.|KO=그가 나를 위하여 사냥하여 맛있는 음식을 만들어 오라. 내가 먹고 죽기 전에 너를 여호와 앞에서 축복하리라.
V|N=8|EN=Now therefore, my son, obey my voice according to that which I command thee.|KO=그러므로 내 아들아, 내가 너에게 명하는 대로 내 목소리를 obey하라.
V|N=9|EN=Go now to the flock, and fetch me from thence two good kids of the goats; and I will make them savoury meat for thy father, such as he loveth:|KO=가서 양 떼에서 두 마리 좋은 새끼 염소를 가져오라. 내가 너의 아버지를 위하여 그로 맛있는 음식을 만들리라.
V|N=10|EN=And thou shalt bring it to thy father, that he may eat, and that he may bless thee before his death.|KO=너는 그것을 너의 아버지에게 가져가서 그가 먹고 너를 축복하게 하라.
V|N=11|EN=And Jacob said to Rebekah his mother, Behold, Esau my brother is a hairy man, and I am a smooth man:|KO=야곱이 그의 어머니 리브가에게 이르되, 보소서, 내 형 에서가 털이 많고 나는 매끈하니이다.
V|N=12|EN=My father peradventure will feel me, and I shall seem to him as a deceiver; and I shall bring a curse upon me, and not a blessing.|KO=아버지가 나를 만지실까 두려워서 내가 그에게 속이는 자로 보일까 두려워하나이다. 그러면 나에게 저주가 임하고 축복이 없으리이다.
V|N=13|EN=And his mother said unto him, Upon me be thy curse, my son: only obey my voice, and go fetch me them.|KO=그의 어머니가 그에게 이르되, 내 아들아, 저주는 내게로 돌아오리니, 너는 내 목소리를 obey하고 가서 가져오라.
V|N=14|EN=And he went, and fetched, and brought them to his mother: and his mother made savoury meat, such as his father loved.|KO=그가 가서 가져와서 그의 어머니에게 주니, 그의 어머니가 그의 아버지가 사랑하는 맛있는 음식을 만들었다.
V|N=15|EN=And Rebekah took goodly raiment of her eldest son Esau, which were with her in the house, and put them upon Jacob her younger son:|KO=리브가가 그의 큰 아들 에서의 좋은 옷을 집에서 가져다가 그의 작은 아들 야곱에게 입혔고,
V|N=16|EN=And she put the skins of the kids of the goats upon his hands, and upon the smooth of his neck:|KO=그의 손과 목의 매끈한 부분에 염소의 가죽을 입혔다.
V|N=17|EN=And she gave the savoury meat and the bread, which she had prepared, into the hand of her son Jacob.|KO=그가 준비한 맛있는 음식과 빵을 그의 아들 야곱의 손에 주었다.
V|N=18|EN=And he came unto his father, and said, My father: and he said, Here am I; who art thou, my son?|KO=그가 그의 아버지에게 나아가 이르되, 아버지여, 이삭이 이르되, 내가 여기 있노라. 너는 누구냐, 내 아들아?
V|N=19|EN=And Jacob said unto his father, I am Esau thy first born; I have done according as thou badest me: arise, I pray thee, sit and eat of my venison, that thy soul may bless me.|KO=야곱이 그의 아버지에게 이르되, 나는 당신의 장자 에서입니다. 내가 당신의 명령대로 하였사오니, 일어나서 내 사냥한 것을 드시고 내게 축복하소서.
V|N=20|EN=And Isaac said unto his son, How is it that thou hast found it so quickly, my son? And he said, Because the LORD thy God brought it to me.|KO=이삭이 그의 아들에게 이르되, 네가 어찌 그리 빨리 찾았느냐? 그가 이르되, 여호와 하나님이 나에게 보내셨나이다.
V|N=21|EN=And Isaac said unto Jacob, Come near, I pray thee, that I may feel thee, my son, whether thou be my very son Esau or not.|KO=이삭이 야곱에게 이르되, 내게 가까이 오라. 내가 너를 만져 너가 정말 내 아들 에서인지 아닌지 알리라.
V|N=22|EN=And Jacob went near unto Isaac his father; and he felt him, and said, The voice is Jacob’s voice, but the hands are the hands of Esau.|KO=야곱이 그의 아버지 이삭에게 가까이 나아가니, 그가 만지며 이르되, 목소리는 야곱의 목소리이나 손은 에서의 손이로구나.
V|N=23|EN=And he discerned him not, because his hands were hairy, as his brother Esau’s hands: so he blessed him.|KO=그가 그를 알아보지 못하였으니, 그의 손이 그의 형 에서의 손처럼 털이 많았기 때문이라. 그래서 그를 축복하였더라.
V|N=24|EN=And he said, Art thou my very son Esau? And he said, I am.|KO=그가 이르되, 너는 내 아들 에서냐? 그가 이르되, 내가 그러하니이다.
V|N=25|EN=And he said, Bring it near to me, and I will eat of my son’s venison, that my soul may bless thee. And he brought it near to him, and he did eat: and he brought him wine and he drank.|KO=그가 이르되, 내게 가까이 가져오라. 내가 내 아들의 사냥한 것을 먹고 너를 축복하리라. 그가 가까이 가져가니, 그가 먹고, 포도주를 가져오니, 그가 마셨다.
V|N=26|EN=And his father Isaac said unto him, Come near now, and kiss me, my son.|KO=그의 아버지 이삭이 그에게 이르되, 이제 가까이 오라. 내 아들아, 나에게 입맞추라.
V|N=27|EN=And he came near, and kissed him: and he smelled the smell of his raiment, and blessed him, and said, See, the smell of my son is as the smell of a field which the LORD hath blessed:|KO=그가 가까이 가서 그에게 입맞추니, 이삭이 그의 옷의 냄새를 맡고 그를 축복하며 이르되, 내 아들의 냄새는 여호와께서 축복하신 밭의 냄새와 같도다.
V|N=28|EN=Therefore God give thee of the dew of heaven, and the fatness of the earth, and plenty of corn and wine:|KO=그러므로 하나님이 너에게 하늘의 이슬과 땅의 기름과 곡식과 포도주를 주시기를 원하노라.
