#BOOK=Genesis|BOOKCODE=gen|CHAPTER=32|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 32|KO=창세기 32장
V|N=1|EN=And Jacob went on his way, and the angels of God met him.|KO=야곱이 길을 가다가 하나님의 사자들을 만났더라.
V|N=2|EN=And when Jacob saw them, he said, This is God’s host: and he called the name of that place Mahanaim.|KO=야곱이 그들을 보고 이르되, 이는 하나님의 군대라 하고 그곳 이름을 마하나임이라 하였더라.
V|N=3|EN=And Jacob sent messengers before him to Esau his brother unto the land of Seir, the country of Edom.|KO=야곱이 그의 형 에서에게 사람을 보내어 세일 땅으로 가게 하였더라.
V|N=4|EN=And he commanded them, saying, Thus shall ye speak unto my lord Esau; Thy servant Jacob saith thus, I have sojourned with Laban, and stayed there until now:|KO=그가 그들에게 명령하여 이르되, 너희는 내 주 에서에게 이렇게 말하라. 너희의 종 야곱이 이렇게 말하노라. 내가 라반과 함께 거주하였고 지금까지 거기 거하였노라.
V|N=5|EN=And I have oxen, and asses, flocks, and menservants, and womenservants: and I have sent to tell my lord, that I may find grace in thy sight.|KO=내게는 소와 나귀와 양떼와 남종과 여종이 있으며, 내가 내 주에게 은혜를 입고자 하여 이 소식을 전하였노라.
V|N=6|EN=And the messengers returned to Jacob, saying, We came to thy brother Esau, and also he cometh to meet thee, and four hundred men with him.|KO=사자들이 야곱에게 돌아와 이르되, 우리가 당신의 형 에서를 만났고, 그가 당신을 만나러 오고 있으며, 사백 명이 그와 함께 오고 있더이다.
V|N=7|EN=Then Jacob was greatly afraid and distressed: and he divided the people that was with him, and the flocks, and herds, and the camels, into two bands;|KO=야곱이 매우 두려워하고 근심하였으므로 그와 함께 있는 백성과 양떼와 소떼와 낙타를 두 무리로 나누었더라.
V|N=8|EN=And said, If Esau come to the one company, and smite it, then the other company which is left shall escape.|KO=그가 이르되, 에서가 한 무리를 치면 남은 한 무리는 피하리라 하였더라.
V|N=9|EN=And Jacob said, O God of my father Abraham, and God of my father Isaac, the LORD which saidst unto me, Return unto thy country, and to thy kindred, and I will deal well with thee:|KO=야곱이 이르되, 내 조부 아브라함의 하나님이요, 내 아버지 이삭의 하나님이여, 주께서 내게 이르시기를, 너의 고향과 친척에게로 돌아가라. 내가 너에게 은혜를 베풀리라 하셨나이다.
V|N=10|EN=I am not worthy of the least of all the mercies, and of all the truth, which thou hast shewed unto thy servant; for with my staff I passed over this Jordan; and now I am become two bands.|KO=내가 주의 모든 은혜와 모든 진리 중에 가장 작은 것 하나도 감당하지 못할 자입니다. 내가 이 지팡이를 가지고 요단을 건넜더니 이제는 두 무리가 되었나이다.
V|N=11|EN=Deliver me, I pray thee, from the hand of my brother, from the hand of Esau: for I fear him, lest he will come and smite me, and the mother with the children.|KO=내 형의 손, 곧 에서의 손에서 나를 건져 주시기를 간구하나이다. 그가 나를 치고 어미와 자식을 죽일까 두려워하나이다.
V|N=12|EN=And thou saidst, I will surely do thee good, and make thy seed as the sand of the sea, which cannot be numbered for multitude.|KO=주께서 말씀하시기를, 내가 반드시 너에게 선을 베풀고, 네 자손을 바다의 모래처럼 많게 하리라 하셨나이다.
V|N=13|EN=And he lodged there that same night; and took of that which came to his hand a present for Esau his brother;|KO=그가 그 밤에 거기서 유숙하고, 손에 잡힌 것을 가지고 형 에서에게 드릴 예물을 준비하였더라.
V|N=14|EN=Two hundred she goats, and twenty he goats, two hundred ewes, and twenty rams,|KO=염소 암컷 이백 마리와 수컷 이십 마리, 암양 이백 마리와 수컷 이십 마리,
V|N=15|EN=Thirty milch camels with their colts, forty kine, and ten bulls, twenty she asses, and ten foals.|KO=젖을 먹이는 낙타 서른 마리와 그 새끼, 소 마흔 마리와 수소 열 마리, 암나귀 스무 마리와 그 새끼 열 마리를 준비하였더라.
V|N=16|EN=And he delivered them into the hand of his servants, every drove by themselves; and said unto his servants, Pass over before me, and put a space betwixt drove and drove.|KO=그가 그것들을 각각의 무리로 나누어 그의 종들에게 주며 이르되, 너희는 내 앞에서 지나가고 무리와 무리 사이에 간격을 두라 하였더라.
V|N=17|EN=And he commanded the foremost, saying, When Esau my brother meeteth thee, and asketh thee, saying, Whose art thou? and whither goest thou? and whose are these before thee?|KO=그가 맨 앞에 있는 자에게 명령하여 이르되, 내 형 에서가 너를 만나거든, 너에게 묻기를, 너는 누구냐? 어디로 가느냐? 이들은 누구의 것이냐? 하거든,
V|N=18|EN=Then thou shalt say, They be thy servant Jacob’s; it is a present sent unto my lord Esau: and, behold, also he is behind us.|KO=너는 이르기를, 당신의 종 야곱의 것이니이다. 이는 내 주 에게 드릴 예물이라 하라. 보소서, 그도 우리 뒤에 있나이다 하라.
