#BOOK=Genesis|BOOKCODE=gen|CHAPTER=25|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 25|KO=창세기 25장
V|N=1|EN=Then again Abraham took a wife, and her name was Keturah.|KO=다시 아브라함이 아내를 취하였으니 그 이름은 그두라라.
V|N=2|EN=And she bare him Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah.|KO=그가 그에게서 시므란과 욕산과 메단과 미디안과 이스박과 수아를 낳았더라.
V|N=3|EN=And Jokshan begat Sheba, and Dedan. And the sons of Dedan were Asshurim, and Letushim, and Leummim.|KO=욕산은 세바와 느다안을 낳았고, 느다안의 아들들은 아스수림과 레투심과 레우밈이었더라.
V|N=4|EN=And the sons of Midian; Ephah, and Epher, and Hanoch, and Abidah, and Eldaah. All these were the children of Keturah.|KO=미디안의 아들들은 에바와 에벨과 하녹과 아비다와 엘다아라. 이 모든 자들은 그두라의 자녀들이더라.
V|N=5|EN=And Abraham gave all that he had unto Isaac.|KO=아브라함은 자기의 모든 것을 이삭에게 주었더라.
V|N=6|EN=But unto the sons of the concubines, which Abraham had, Abraham gave gifts, and sent them away from Isaac his son, while he yet lived, eastward, unto the east country.|KO=그러나 아브라함이 가진 첩의 아들들에게는 아브라함이 선물을 주고, 그들을 이삭에게서 멀리 동쪽으로 보내었더라.
V|N=7|EN=And these are the days of the years of Abraham’s life which he lived, an hundred threescore and fifteen years.|KO=아브라함의 생애의 연수는 백삼십오 세라.
V|N=8|EN=Then Abraham gave up the ghost, and died in a good old age, an old man, and full of years; and was gathered to his people.|KO=아브라함이 기운을 다하여 죽어 좋은 노인이 되어 많은 날을 살다가 자기의 백성에게로 모여졌더라.
V|N=9|EN=And his sons Isaac and Ishmael buried him in the cave of Machpelah, in the field of Ephron the son of Zohar the Hittite, which is before Mamre;|KO=그의 아들 이삭과 이스마엘이 그를 막벨라 굴에 장사하였으니, 그것은 헷의 아들 에브론의 밭에 있더라.
V|N=10|EN=The field which Abraham purchased of the sons of Heth: there was Abraham buried, and Sarah his wife.|KO=아브라함이 헷의 아들들에게서 산 밭이니, 그곳에 아브라함이 장사되었고, 그의 아내 사라도 거기 장사되었더라.
V|N=11|EN=And it came to pass after the death of Abraham, that God blessed his son Isaac; and Isaac dwelt by the well Lahairoi.|KO=아브라함이 죽은 후에 하나님이 그의 아들 이삭을 축복하셨고, 이삭은 라하이로이 우물 곁에 거주하였더라.
V|N=12|EN=Now these are the generations of Ishmael, Abraham’s son, whom Hagar the Egyptian, Sarah’s handmaid, bare unto Abraham:|KO=이것은 이스마엘의 후손의 계보라. 이스마엘은 아브라함의 아들이요, 애굽 여인 하갈이 아브라함에게 낳은 자라.
