#BOOK=Genesis|BOOKCODE=gen|CHAPTER=41|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 41|KO=창세기 41장
V|N=1|EN=And it came to pass at the end of two full years, that Pharaoh dreamed: and, behold, he stood by the river.|KO=두 해가 끝날 때에 바로가 꿈을 꾸었는데, 그가 강가에 서 있는 것을 보았다.
V|N=2|EN=And, behold, there came up out of the river seven well favoured kine and fatfleshed; and they fed in a meadow.|KO=보라, 강에서 잘 생기고 살찐 일곱 마리 소가 올라왔고, 그들이 초원에서 풀을 먹었다.
V|N=3|EN=And, behold, seven other kine came up after them out of the river, ill favoured and leanfleshed; and stood by the other kine upon the brink of the river.|KO=보라, 그 뒤에 다른 일곱 마리 소가 강에서 올라왔는데, 형편없이 여위고 못생긴 소들이었고, 그들이 강가의 다른 소들 곁에 서 있었다.
V|N=4|EN=And the ill favoured and leanfleshed kine did eat up the seven well favoured and fat kine. So Pharaoh awoke.|KO=여위고 못생긴 소들이 잘 생기고 살찐 일곱 마리 소를 먹어 치웠다. 그래서 바로가 깨어났다.
V|N=5|EN=And he slept and dreamed the second time: and, behold, seven ears of corn came up upon one stalk, rank and good.|KO=그가 다시 잠을 자고 꿈을 꾸었는데, 보라, 한 줄기에 일곱 개의 이삭이 올라왔고, 그 이삭은 무성하고 좋았다.
V|N=6|EN=And, behold, seven thin ears and blasted with the east wind sprung up after them.|KO=보라, 그 뒤에 여위고 동풍에 말라버린 일곱 개의 이삭이 올라왔다.
V|N=7|EN=And the seven thin ears devoured the seven rank and full ears. And Pharaoh awoke, and, behold, it was a dream.|KO=여위고 마른 이삭이 무성하고 좋은 일곱 개의 이삭을 삼켜버렸다. 바로가 깨어났고, 보라, 그것은 꿈이었다.
V|N=8|EN=And it came to pass in the morning that his spirit was troubled; and he sent and called for all the magicians of Egypt, and all the wise men thereof: and Pharaoh told them his dream; but there was none that could interpret them unto Pharaoh.|KO=아침이 되어 그의 마음이 괴로워지자, 그는 이집트의 모든 술사와 지혜자들을 불러서 그들에게 꿈을 이야기했으나, 그를 해석할 수 있는 자가 없었다.
V|N=9|EN=Then spake the chief butler unto Pharaoh, saying, I do remember my faults this day:|KO=그때 술 맡은 관원이 바로에게 말하였다. "오늘 내가 내 잘못을 기억합니다."
V|N=10|EN=Pharaoh was wroth with his servants, and put me in ward in the captain of the guard’s house, both me and the chief baker:|KO=바로가 그의 신하들에게 화를 내어 나를 경비대장 집에 가두었고, 나와 제빵사도 함께 있었습니다.
V|N=11|EN=And we dreamed a dream in one night, I and he; we dreamed each man according to the interpretation of his dream.|KO=우리는 한 밤에 꿈을 꾸었고, 각자는 그의 꿈의 해석에 따라 꿈을 꾸었습니다.
V|N=12|EN=And there was there with us a young man, an Hebrew, servant to the captain of the guard; and we told him, and he interpreted to us our dreams; to each man according to his dream he did interpret.|KO=그곳에 한 젊은 히브리 사람, 경비대장의 종이 있었고, 우리는 그에게 꿈을 이야기하였고, 그는 우리 꿈을 해석해 주었습니다. 각자는 그의 꿈에 따라 해석하였습니다.
V|N=13|EN=And it came to pass, as he interpreted to us, so it was; me he restored unto mine office, and him he hanged.|KO=그가 우리에게 해석한 대로 되었고, 나를 내 직위로 회복시켰고, 그를 교수형에 처하였습니다.
V|N=14|EN=Then Pharaoh sent and called Joseph, and they brought him hastily out of the dungeon: and he shaved himself, and changed his raiment, and came in unto Pharaoh.|KO=그때 바로가 사람을 보내어 요셉을 부르니, 그들이 급히 감옥에서 그를 데리고 나왔다. 그는 면도하고 옷을 갈아입고 바로에게 나아갔다.
