#BOOK=Genesis|BOOKCODE=gen|CHAPTER=22|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 22|KO=창세기 22장
V|N=1|EN=And it came to pass after these things, that God did tempt Abraham, and said unto him, Abraham: and he said, Behold, here I am.|KO=이 일 후에 하나님이 아브라함을 시험하시고 그에게 이르시되, 아브라함아 하시니, 아브라함이 이르되, 내가 여기 있나이다.
V|N=2|EN=And he said, Take now thy son, thine only son Isaac, whom thou lovest, and get thee into the land of Moriah; and offer him there for a burnt offering upon one of the mountains which I will tell thee of.|KO=하나님이 이르시되, 네 아들, 네 독자 이삭을 데리고 모리아 땅으로 가서, 내가 네게 일러주는 한 산에서 그를 번제로 드리라 하시니.
V|N=3|EN=And Abraham rose up early in the morning, and saddled his ass, and took two of his young men with him, and Isaac his son, and clave the wood for the burnt offering, and rose up, and went unto the place of which God had told him.|KO=아브라함이 아침 일찍 일어나 그의 나귀에 안장을 지우고, 두 종자와 그의 아들 이삭을 데리고 나무를 쪼개어 번제할 곳으로 가려 하여 떠나니.
V|N=4|EN=Then on the third day Abraham lifted up his eyes, and saw the place afar off.|KO=셋째 날에 아브라함이 눈을 들어 멀리 그 곳을 바라보았더라.
V|N=5|EN=And Abraham said unto his young men, Abide ye here with the ass; and I and the lad will go yonder and worship, and come again to you.|KO=아브라함이 그의 종자에게 이르되, 너희는 여기 나귀와 함께 있으라. 나와 아이가 저기 가서 경배하고 너희에게로 돌아오리라.
V|N=6|EN=And Abraham took the wood of the burnt offering, and laid it upon Isaac his son; and he took the fire in his hand, and a knife; and they went both of them together.|KO=아브라함이 번제할 나무를 그의 아들 이삭에게 지우고, 손에 불과 칼을 들고 두 사람이 함께 나아가니라.
V|N=7|EN=And Isaac spake unto Abraham his father, and said, My father: and he said, Here am I, my son. And he said, Behold the fire and the wood: but where is the lamb for a burnt offering?|KO=이삭이 아브라함에게 아버지여 하니, 아브라함이 이르되, 내가 여기 있나이다, 내 아들아. 이삭이 이르되, 불과 나무는 여기 있거니와, 번제할 어린 양은 어디 있나이까?
V|N=8|EN=And Abraham said, My son, God will provide himself a lamb for a burnt offering: so they went both of them together.|KO=아브라함이 이르되, 내 아들아, 하나님이 자기를 위하여 번제할 어린 양을 준비하시리라 하니, 두 사람이 함께 나아가니라.
V|N=9|EN=And they came to the place which God had told him of; and Abraham built an altar there, and laid the wood in order, and bound Isaac his son, and laid him on the altar upon the wood.|KO=그들이 하나님이 그에게 일러주신 곳에 이르러, 아브라함이 그곳에 단을 쌓고 나무를 벌여 놓고, 그의 아들 이삭을 결박하여 단 위 나무 위에 놓으니.
V|N=10|EN=And Abraham stretched forth his hand, and took the knife to slay his son.|KO=아브라함이 손을 내밀어 칼을 잡고 그의 아들을 잡으려 하더니.
V|N=11|EN=And the angel of the LORD called unto him out of heaven, and said, Abraham, Abraham: and he said, Here am I.|KO=여호와의 사자가 하늘에서 아브라함을 부르며 이르되, 아브라함아, 아브라함아 하니, 그가 이르되, 내가 여기 있나이다.
V|N=12|EN=And he said, Lay not thine hand upon the lad, neither do thou any thing unto him: for now I know that thou fearest God, seeing thou hast not withheld thy son, thine only son from me.|KO=사자가 이르되, 그 아이에게 네 손을 대지 말고, 그에게 아무 일도 하지 말라. 내가 이제야 네가 하나님을 경외하는 줄 아노니, 네 아들, 네 독자를 내게 아끼지 아니하였음이니라.
V|N=13|EN=And Abraham lifted up his eyes, and looked, and behold behind him a ram caught in a thicket by his horns: and Abraham went and took the ram, and offered him up for a burnt offering in the stead of his son.|KO=아브라함이 눈을 들어 보니, 뒤에 숫양 한 마리가 가시나무에 걸려 있는지라. 아브라함이 가서 그 숫양을 가져다가 그의 아들을 대신하여 번제로 드리니라.
V|N=14|EN=And Abraham called the name of that place Jehovahjireh: as it is said to this day, In the mount of the LORD it shall be seen.|KO=아브라함이 그 곳 이름을 여호와 이레라 하였으니, 오늘날까지 사람들이 이르기를, 여호와의 산에서 준비되리라 하더라.
V|N=15|EN=And the angel of the LORD called unto Abraham out of heaven the second time,|KO=여호와의 사자가 두 번째로 아브라함을 부르며 이르되,
V|N=16|EN=And said, By myself have I sworn, saith the LORD, for because thou hast done this thing, and hast not withheld thy son, thine only son:|KO=여호와께서 이르시되, 내가 나를 가리켜 맹세하노라. 네가 이 일을 행하였고, 네 아들, 네 독자를 아끼지 아니하였으니,
V|N=17|EN=That in blessing I will bless thee, and in multiplying I will multiply thy seed as the stars of the heaven, and as the sand which is upon the sea shore; and thy seed shall possess the gate of his enemies;|KO=내가 네게 복을 주고, 네 씨를 하늘의 별과 바닷가의 모래 같이 번성하게 하리니, 네 씨가 그 원수의 성문을 차지하리라.
V|N=18|EN=And in thy seed shall all the nations of the earth be blessed; because thou hast obeyed my voice.|KO=또 네 씨로 말미암아 땅의 모든 민족이 복을 받으리니, 이는 네가 내 목소리를 순종하였음이라.
V|N=19|EN=So Abraham returned unto his young men, and they rose up and went together to Beersheba; and Abraham dwelt at Beersheba.|KO=아브라함이 그의 종자에게로 돌아가서 함께 일어나서 브엘세바로 갔고, 아브라함이 브엘세바에 거주하였더라.
V|N=20|EN=And it came to pass after these things, that it was told Abraham, saying, Behold, Milcah, she hath also born children unto thy brother Nahor;|KO=이 일 후에 아브라함에게 말하기를, 보라, 밀가가 네 형 나홀에게 자녀를 낳았다고 전하였더라.
V|N=21|EN=Huz his firstborn, and Buz his brother, and Kemuel the father of Aram,|KO=그의 맏아들은 후스요, 그의 동생은 부스요, 아람의 아버지는 그므엘이요,
V|N=22|EN=And Chesed, and Hazo, and Pildash, and Jidlaph, and Bethuel.|KO=그리고 그세드와 하소와 필다스와 이들랍과 벧우엘이더라.
V|N=23|EN=And Bethuel begat Rebekah: these eight Milcah did bear to Nahor, Abraham’s brother.|KO=벧우엘이 리브가를 낳았으니, 밀가가 나홀에게 낳은 자녀는 이 여덟이라.
V|N=24|EN=And his concubine, whose name was Reumah, she bare also Tebah, and Gaham, and Thahash, and Maachah.|KO=그의 첩의 이름은 류마라. 그녀도 테바와 가함과 다하스와 마아가를 낳았더라.
