#BOOK=Genesis|BOOKCODE=gen|CHAPTER=47|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 47|KO=창세기 47장
V|N=1|EN=Then Joseph came and told Pharaoh, and said, My father and my brethren, and their flocks, and their herds, and all that they have, are come out of the land of Canaan; and, behold, they are in the land of Goshen.|KO=
V|N=2|EN=And he took some of his brethren, even five men, and presented them unto Pharaoh.|KO=
V|N=3|EN=And Pharaoh said unto his brethren, What is your occupation? And they said unto Pharaoh, Thy servants are shepherds, both we, and also our fathers.|KO=
V|N=4|EN=They said morever unto Pharaoh, For to sojourn in the land are we come; for thy servants have no pasture for their flocks; for the famine is sore in the land of Canaan: now therefore, we pray thee, let thy servants dwell in the land of Goshen.|KO=
V|N=5|EN=And Pharaoh spake unto Joseph, saying, Thy father and thy brethren are come unto thee:|KO=
V|N=6|EN=The land of Egypt is before thee; in the best of the land make thy father and brethren to dwell; in the land of Goshen let them dwell: and if thou knowest any men of activity among them, then make them rulers over my cattle.|KO=
V|N=7|EN=And Joseph brought in Jacob his father, and set him before Pharaoh: and Jacob blessed Pharaoh.|KO=
V|N=8|EN=And Pharaoh said unto Jacob, How old art thou?|KO=
V|N=9|EN=And Jacob said unto Pharaoh, The days of the years of my pilgrimage are an hundred and thirty years: few and evil have the days of the years of my life been, and have not attained unto the days of the years of the life of my fathers in the days of their pilgrimage.|KO=
V|N=10|EN=And Jacob blessed Pharaoh, and went out from before Pharaoh.|KO=
V|N=11|EN=And Joseph placed his father and his brethren, and gave them a possession in the land of Egypt, in the best of the land, in the land of Rameses, as Pharaoh had commanded.|KO=
V|N=12|EN=And Joseph nourished his father, and his brethren, and all his father’s household, with bread, according to their families.|KO=
V|N=13|EN=And there was no bread in all the land; for the famine was very sore, so that the land of Egypt and all the land of Canaan fainted by reason of the famine.|KO=
V|N=14|EN=And Joseph gathered up all the money that was found in the land of Egypt, and in the land of Canaan, for the corn which they bought: and Joseph brought the money into Pharaoh’s house.|KO=
V|N=15|EN=And when money failed in the land of Egypt, and in the land of Canaan, all the Egyptians came unto Joseph, and said, Give us bread: for why should we die in thy presence? for the money faileth.|KO=
V|N=16|EN=And Joseph said, Give your cattle; and I will give you for your cattle, if money fail.|KO=
V|N=17|EN=And they brought their cattle unto Joseph: and Joseph gave them bread in exchange for horses, and for the flocks, and for the cattle of the herds, and for the asses: and he fed them with bread for all their cattle for that year.|KO=
V|N=18|EN=When that year was ended, they came unto him the second year, and said unto him, We will not hide it from my lord, how that our money is spent; my lord also hath our herds of cattle; there is not ought left in the sight of my lord, but our bodies, and our lands:|KO=
V|N=19|EN=Wherefore shall we die before thine eyes, both we and our land? buy us and our land for bread, and we and our land will be servants unto Pharaoh: and give us seed, that we may live, and not die, that the land be not desolate.|KO=
V|N=20|EN=And Joseph bought all the land of Egypt for Pharaoh; for the Egyptians sold every man his field, because the famine prevailed over them: so the land became Pharaoh’s.|KO=
V|N=21|EN=And as for the people, he removed them to cities from one end of the borders of Egypt even to the other end thereof.|KO=
V|N=22|EN=Only the land of the priests bought he not; for the priests had a portion assigned them of Pharaoh, and did eat their portion which Pharaoh gave them: wherefore they sold not their lands.|KO=
V|N=23|EN=Then Joseph said unto the people, Behold, I have bought you this day and your land for Pharaoh: lo, here is seed for you, and ye shall sow the land.|KO=
V|N=24|EN=And it shall come to pass in the increase, that ye shall give the fifth part unto Pharaoh, and four parts shall be your own, for seed of the field, and for your food, and for them of your households, and for food for your little ones.|KO=
V|N=25|EN=And they said, Thou hast saved our lives: let us find grace in the sight of my lord, and we will be Pharaoh’s servants.|KO=
V|N=26|EN=And Joseph made it a law over the land of Egypt unto this day, that Pharaoh should have the fifth part, except the land of the priests only, which became not Pharaoh’s.|KO=
V|N=27|EN=And Israel dwelt in the land of Egypt, in the country of Goshen; and they had possessions therein, and grew, and multiplied exceedingly.|KO=
V|N=28|EN=And Jacob lived in the land of Egypt seventeen years: so the whole age of Jacob was an hundred forty and seven years.|KO=
V|N=29|EN=And the time drew nigh that Israel must die: and he called his son Joseph, and said unto him, If now I have found grace in thy sight, put, I pray thee, thy hand under my thigh, and deal kindly and truly with me; bury me not, I pray thee, in Egypt:|KO=
V|N=30|EN=But I will lie with my fathers, and thou shalt carry me out of Egypt, and bury me in their buryingplace. And he said, I will do as thou hast said.|KO=
V|N=31|EN=And he said, Swear unto me. And he sware unto him. And Israel bowed himself upon the bed’s head.|KO=
