#BOOK=Genesis|BOOKCODE=gen|CHAPTER=36|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 36|KO=창세기 36장
V|N=1|EN=Now these are the generations of Esau, who is Edom.|KO=
V|N=2|EN=Esau took his wives of the daughters of Canaan; Adah the daughter of Elon the Hittite, and Aholibamah the daughter of Anah the daughter of Zibeon the Hivite;|KO=
V|N=3|EN=And Bashemath Ishmael’s daughter, sister of Nebajoth.|KO=
V|N=4|EN=And Adah bare to Esau Eliphaz; and Bashemath bare Reuel;|KO=
V|N=5|EN=And Aholibamah bare Jeush, and Jaalam, and Korah: these are the sons of Esau, which were born unto him in the land of Canaan.|KO=
V|N=6|EN=And Esau took his wives, and his sons, and his daughters, and all the persons of his house, and his cattle, and all his beasts, and all his substance, which he had got in the land of Canaan; and went into the country from the face of his brother Jacob.|KO=
V|N=7|EN=For their riches were more than that they might dwell together; and the land wherein they were strangers could not bear them because of their cattle.|KO=
V|N=8|EN=Thus dwelt Esau in mount Seir: Esau is Edom.|KO=
V|N=9|EN=And these are the generations of Esau the father of the Edomites in mount Seir:|KO=
V|N=10|EN=These are the names of Esau’s sons; Eliphaz the son of Adah the wife of Esau, Reuel the son of Bashemath the wife of Esau.|KO=
V|N=11|EN=And the sons of Eliphaz were Teman, Omar, Zepho, and Gatam, and Kenaz.|KO=
V|N=12|EN=And Timna was concubine to Eliphaz Esau’s son; and she bare to Eliphaz Amalek: these were the sons of Adah Esau’s wife.|KO=
V|N=13|EN=And these are the sons of Reuel; Nahath, and Zerah, Shammah, and Mizzah: these were the sons of Bashemath Esau’s wife.|KO=
V|N=14|EN=And these were the sons of Aholibamah, the daughter of Anah the daughter of Zibeon, Esau’s wife: and she bare to Esau Jeush, and Jaalam, and Korah.|KO=
V|N=15|EN=These were dukes of the sons of Esau: the sons of Eliphaz the firstborn son of Esau; duke Teman, duke Omar, duke Zepho, duke Kenaz,|KO=
V|N=16|EN=Duke Korah, duke Gatam, and duke Amalek: these are the dukes that came of Eliphaz in the land of Edom; these were the sons of Adah.|KO=
V|N=17|EN=And these are the sons of Reuel Esau’s son; duke Nahath, duke Zerah, duke Shammah, duke Mizzah: these are the dukes that came of Reuel in the land of Edom; these are the sons of Bashemath Esau’s wife.|KO=
V|N=18|EN=And these are the sons of Aholibamah Esau’s wife; duke Jeush, duke Jaalam, duke Korah: these were the dukes that came of Aholibamah the daughter of Anah, Esau’s wife.|KO=
V|N=19|EN=These are the sons of Esau, who is Edom, and these are their dukes.|KO=
V|N=20|EN=These are the sons of Seir the Horite, who inhabited the land; Lotan, and Shobal, and Zibeon, and Anah,|KO=
V|N=21|EN=And Dishon, and Ezer, and Dishan: these are the dukes of the Horites, the children of Seir in the land of Edom.|KO=
V|N=22|EN=And the children of Lotan were Hori and Hemam; and Lotan’s sister was Timna.|KO=
V|N=23|EN=And the children of Shobal were these; Alvan, and Manahath, and Ebal, Shepho, and Onam.|KO=
V|N=24|EN=And these are the children of Zibeon; both Ajah, and Anah: this was that Anah that found the mules in the wilderness, as he fed the asses of Zibeon his father.|KO=
V|N=25|EN=And the children of Anah were these; Dishon, and Aholibamah the daughter of Anah.|KO=
V|N=26|EN=And these are the children of Dishon; Hemdan, and Eshban, and Ithran, and Cheran.|KO=
V|N=27|EN=The children of Ezer are these; Bilhan, and Zaavan, and Akan.|KO=
V|N=28|EN=The children of Dishan are these; Uz, and Aran.|KO=
V|N=29|EN=These are the dukes that came of the Horites; duke Lotan, duke Shobal, duke Zibeon, duke Anah,|KO=
V|N=30|EN=Duke Dishon, duke Ezer, duke Dishan: these are the dukes that came of Hori, among their dukes in the land of Seir.|KO=
V|N=31|EN=And these are the kings that reigned in the land of Edom, before there reigned any king over the children of Israel.|KO=
V|N=32|EN=And Bela the son of Beor reigned in Edom: and the name of his city was Dinhabah.|KO=
V|N=33|EN=And Bela died, and Jobab the son of Zerah of Bozrah reigned in his stead.|KO=
V|N=34|EN=And Jobab died, and Husham of the land of Temani reigned in his stead.|KO=
V|N=35|EN=And Husham died, and Hadad the son of Bedad, who smote Midian in the field of Moab, reigned in his stead: and the name of his city was Avith.|KO=
V|N=36|EN=And Hadad died, and Samlah of Masrekah reigned in his stead.|KO=
V|N=37|EN=And Samlah died, and Saul of Rehoboth by the river reigned in his stead.|KO=
V|N=38|EN=And Saul died, and Baalhanan the son of Achbor reigned in his stead.|KO=
V|N=39|EN=And Baalhanan the son of Achbor died, and Hadar reigned in his stead: and the name of his city was Pau; and his wife’s name was Mehetabel, the daughter of Matred, the daughter of Mezahab.|KO=
V|N=40|EN=And these are the names of the dukes that came of Esau, according to their families, after their places, by their names; duke Timnah, duke Alvah, duke Jetheth,|KO=
V|N=41|EN=Duke Aholibamah, duke Elah, duke Pinon,|KO=
V|N=42|EN=Duke Kenaz, duke Teman, duke Mibzar,|KO=
V|N=43|EN=Duke Magdiel, duke Iram: these be the dukes of Edom, according to their habitations in the land of their possession: he is Esau the father of the Edomites.|KO=
